"Notes"	"State"	"State Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"District of Columbia"	"11"	"Alzheimer disease, unspecified"	"G30.9"	88	712816	12.3
	"District of Columbia"	"11"	"Senile degeneration of brain, not elsewhere classified"	"G31.1"	55	712816	7.7
	"District of Columbia"	"11"	"Essential (primary) hypertension"	"I10"	52	712816	7.3
	"District of Columbia"	"11"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	36	712816	5.1
	"District of Columbia"	"11"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	181	712816	25.4
	"District of Columbia"	"11"	"Hypertensive renal disease with renal failure"	"I12.0"	55	712816	7.7
	"District of Columbia"	"11"	"Hypertensive heart and renal disease with renal failure"	"I13.1"	25	712816	3.5
	"District of Columbia"	"11"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	16	712816	Unreliable
	"District of Columbia"	"11"	"Acute myocardial infarction, unspecified"	"I21.9"	117	712816	16.4
	"District of Columbia"	"11"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	415	712816	58.2
	"District of Columbia"	"11"	"Atherosclerotic heart disease"	"I25.1"	193	712816	27.1
	"District of Columbia"	"11"	"Ischaemic cardiomyopathy"	"I25.5"	33	712816	4.6
	"District of Columbia"	"11"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	22	712816	3.1
	"District of Columbia"	"11"	"Other secondary pulmonary hypertension"	"I27.2"	24	712816	3.4
	"District of Columbia"	"11"	"Aortic (valve) stenosis"	"I35.0"	13	712816	Unreliable
	"District of Columbia"	"11"	"Cardiomyopathy, unspecified"	"I42.9"	35	712816	4.9
	"District of Columbia"	"11"	"Atrial fibrillation and flutter"	"I48"	43	712816	6.0
	"District of Columbia"	"11"	"Cardiac arrhythmia, unspecified"	"I49.9"	40	712816	5.6
	"District of Columbia"	"11"	"Congestive heart failure"	"I50.0"	54	712816	7.6
	"District of Columbia"	"11"	"Heart failure, unspecified"	"I50.9"	30	712816	4.2
	"District of Columbia"	"11"	"Cardiovascular disease, unspecified"	"I51.6"	11	712816	Unreliable
	"District of Columbia"	"11"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	11	712816	Unreliable
	"District of Columbia"	"11"	"Intracerebral haemorrhage, unspecified"	"I61.9"	18	712816	Unreliable
	"District of Columbia"	"11"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	19	712816	Unreliable
	"District of Columbia"	"11"	"Cerebral infarction, unspecified"	"I63.9"	18	712816	Unreliable
	"District of Columbia"	"11"	"Stroke, not specified as haemorrhage or infarction"	"I64"	88	712816	12.3
	"District of Columbia"	"11"	"Cerebral atherosclerosis"	"I67.2"	68	712816	9.5
	"District of Columbia"	"11"	"Cerebrovascular disease, unspecified"	"I67.9"	10	712816	Unreliable
	"District of Columbia"	"11"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	10	712816	Unreliable
	"District of Columbia"	"11"	"Generalized and unspecified atherosclerosis"	"I70.9"	11	712816	Unreliable
	"District of Columbia"	"11"	"Peripheral vascular disease, unspecified"	"I73.9"	16	712816	Unreliable
	"District of Columbia"	"11"	"Phlebitis and thrombophlebitis of other deep vessels of lower extremities"	"I80.2"	12	712816	Unreliable
	"District of Columbia"	"11"	"Pneumonia, unspecified"	"J18.9"	69	712816	9.7
	"District of Columbia"	"11"	"Chronic obstructive pulmonary disease with acute lower respiratory infection"	"J44.0"	28	712816	3.9
	"District of Columbia"	"11"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	94	712816	13.2
	"District of Columbia"	"11"	"Asthma, unspecified"	"J45.9"	11	712816	Unreliable
	"District of Columbia"	"11"	"Pneumonitis due to food and vomit"	"J69.0"	42	712816	5.9
	"District of Columbia"	"11"	"Other interstitial pulmonary diseases with fibrosis"	"J84.1"	11	712816	Unreliable
	"District of Columbia"	"11"	"Interstitial pulmonary disease, unspecified"	"J84.9"	16	712816	Unreliable
	"District of Columbia"	"11"	"Vascular disorder of intestine, unspecified"	"K55.9"	13	712816	Unreliable
	"District of Columbia"	"11"	"Other and unspecified intestinal obstruction"	"K56.6"	10	712816	Unreliable
	"District of Columbia"	"11"	"Alcoholic cirrhosis of liver"	"K70.3"	20	712816	2.8
	"District of Columbia"	"11"	"Other and unspecified cirrhosis of liver"	"K74.6"	25	712816	3.5
	"District of Columbia"	"11"	"Gastrointestinal haemorrhage, unspecified"	"K92.2"	11	712816	Unreliable
	"District of Columbia"	"11"	"Chronic kidney disease, stage 5"	"N18.5"	29	712816	4.1
	"District of Columbia"	"11"	"Urinary tract infection, site not specified"	"N39.0"	19	712816	Unreliable
	"District of Columbia"	"11"	"Other ill-defined and unspecified causes of mortality"	"R99"	14	712816	Unreliable
	"District of Columbia"	"11"	"COVID-19"	"U07.1"	831	712816	116.6
	"District of Columbia"	"11"	"Pedestrian injured in traffic accident involving other and unspecified motor vehicles"	"V09.2"	14	712816	Unreliable
	"District of Columbia"	"11"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	14	712816	Unreliable
	"District of Columbia"	"11"	"Unspecified fall"	"W19"	47	712816	6.6
	"District of Columbia"	"11"	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X40"	35	712816	4.9
	"District of Columbia"	"11"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	254	712816	35.6
	"District of Columbia"	"11"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	98	712816	13.7
	"District of Columbia"	"11"	"Accidental poisoning by and exposure to alcohol"	"X45"	11	712816	Unreliable
	"District of Columbia"	"11"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	13	712816	Unreliable
	"District of Columbia"	"11"	"Assault by other and unspecified firearm discharge"	"X95"	155	712816	21.7
	"District of Columbia"	"11"	"Assault by sharp object"	"X99"	12	712816	Unreliable
	"District of Columbia"	"11"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	17	712816	Unreliable
	"Florida"	"12"	"Enterocolitis due to Clostridium difficile"	"A04.7"	273	21733312	1.3
	"Florida"	"12"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	25	21733312	0.1
	"Florida"	"12"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	148	21733312	0.7
	"Florida"	"12"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	12	21733312	Unreliable
	"Florida"	"12"	"Pulmonary mycobacterial infection"	"A31.0"	44	21733312	0.2
	"Florida"	"12"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	10	21733312	Unreliable
	"Florida"	"12"	"Streptococcal septicaemia, unspecified"	"A40.9"	10	21733312	Unreliable
	"Florida"	"12"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	42	21733312	0.2
	"Florida"	"12"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	17	21733312	Unreliable
	"Florida"	"12"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	68	21733312	0.3
	"Florida"	"12"	"Septicaemia, unspecified"	"A41.9"	2454	21733312	11.3
	"Florida"	"12"	"Legionnaires disease"	"A48.1"	11	21733312	Unreliable
	"Florida"	"12"	"Staphylococcal infection, unspecified"	"A49.0"	39	21733312	0.2
	"Florida"	"12"	"Streptococcal infection, unspecified"	"A49.1"	23	21733312	0.1
	"Florida"	"12"	"Other bacterial infections of unspecified site"	"A49.8"	23	21733312	0.1
	"Florida"	"12"	"Bacterial infection, unspecified"	"A49.9"	52	21733312	0.2
	"Florida"	"12"	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	23	21733312	0.1
	"Florida"	"12"	"Herpesviral encephalitis"	"B00.4"	19	21733312	Unreliable
	"Florida"	"12"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	23	21733312	0.1
	"Florida"	"12"	"Chronic viral hepatitis C"	"B18.2"	231	21733312	1.1
	"Florida"	"12"	"HIV disease resulting in other bacterial infections"	"B20.1"	54	21733312	0.2
	"Florida"	"12"	"HIV disease resulting in other viral infections"	"B20.3"	26	21733312	0.1
	"Florida"	"12"	"HIV disease resulting in other mycoses"	"B20.5"	11	21733312	Unreliable
	"Florida"	"12"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	16	21733312	Unreliable
	"Florida"	"12"	"HIV disease resulting in multiple infections"	"B20.7"	57	21733312	0.3
	"Florida"	"12"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	42	21733312	0.2
	"Florida"	"12"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	11	21733312	Unreliable
	"Florida"	"12"	"HIV disease resulting in other malignant neoplasms"	"B21.8"	30	21733312	0.1
	"Florida"	"12"	"HIV disease resulting in encephalopathy"	"B22.0"	18	21733312	Unreliable
	"Florida"	"12"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	56	21733312	0.3
	"Florida"	"12"	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	18	21733312	Unreliable
	"Florida"	"12"	"HIV disease resulting in other specified conditions"	"B23.8"	171	21733312	0.8
	"Florida"	"12"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	131	21733312	0.6
	"Florida"	"12"	"Coronavirus infection, unspecified"	"B34.2"	52	21733312	0.2
	"Florida"	"12"	"Other viral infections of unspecified site"	"B34.8"	22	21733312	0.1
	"Florida"	"12"	"Viral infection, unspecified"	"B34.9"	16	21733312	Unreliable
	"Florida"	"12"	"Candidal septicaemia"	"B37.7"	18	21733312	Unreliable
	"Florida"	"12"	"Unspecified mycosis"	"B49"	33	21733312	0.2
	"Florida"	"12"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	49	21733312	0.2
	"Florida"	"12"	"Other and unspecified infectious diseases"	"B99"	14	21733312	Unreliable
	"Florida"	"12"	"Malignant neoplasm of base of tongue"	"C01"	18	21733312	Unreliable
	"Florida"	"12"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	203	21733312	0.9
	"Florida"	"12"	"Soft palate - Malignant neoplasms"	"C05.1"	13	21733312	Unreliable
	"Florida"	"12"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	85	21733312	0.4
	"Florida"	"12"	"Malignant neoplasm of parotid gland"	"C07"	58	21733312	0.3
	"Florida"	"12"	"Submandibular gland - Malignant neoplasms"	"C08.0"	10	21733312	Unreliable
	"Florida"	"12"	"Major salivary gland, unspecified - Malignant neoplasms"	"C08.9"	20	21733312	0.1
	"Florida"	"12"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	71	21733312	0.3
	"Florida"	"12"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	123	21733312	0.6
	"Florida"	"12"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	58	21733312	0.3
	"Florida"	"12"	"Hypopharynx, unspecified - Malignant neoplasms"	"C13.9"	21	21733312	0.1
	"Florida"	"12"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	103	21733312	0.5
	"Florida"	"12"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	1129	21733312	5.2
	"Florida"	"12"	"Cardia - Malignant neoplasms"	"C16.0"	63	21733312	0.3
	"Florida"	"12"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	729	21733312	3.4
	"Florida"	"12"	"Duodenum - Malignant neoplasms"	"C17.0"	74	21733312	0.3
	"Florida"	"12"	"Jejunum - Malignant neoplasms"	"C17.1"	10	21733312	Unreliable
	"Florida"	"12"	"Small intestine, unspecified - Malignant neoplasms"	"C17.9"	51	21733312	0.2
	"Florida"	"12"	"Caecum - Malignant neoplasms"	"C18.0"	25	21733312	0.1
	"Florida"	"12"	"Appendix - Malignant neoplasms"	"C18.1"	48	21733312	0.2
	"Florida"	"12"	"Ascending colon - Malignant neoplasms"	"C18.2"	20	21733312	0.1
	"Florida"	"12"	"Sigmoid colon - Malignant neoplasms"	"C18.7"	46	21733312	0.2
	"Florida"	"12"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	2914	21733312	13.4
	"Florida"	"12"	"Malignant neoplasm of rectosigmoid junction"	"C19"	230	21733312	1.1
	"Florida"	"12"	"Malignant neoplasm of rectum"	"C20"	484	21733312	2.2
	"Florida"	"12"	"Anus, unspecified - Malignant neoplasms"	"C21.0"	85	21733312	0.4
	"Florida"	"12"	"Overlapping lesion of rectum, anus and anal canal - Malignant neoplasms"	"C21.8"	13	21733312	Unreliable
	"Florida"	"12"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	842	21733312	3.9
	"Florida"	"12"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	495	21733312	2.3
	"Florida"	"12"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	728	21733312	3.3
	"Florida"	"12"	"Malignant neoplasm of gallbladder"	"C23"	118	21733312	0.5
	"Florida"	"12"	"Extrahepatic bile duct - Malignant neoplasms"	"C24.0"	65	21733312	0.3
	"Florida"	"12"	"Ampulla of Vater - Malignant neoplasms"	"C24.1"	14	21733312	Unreliable
	"Florida"	"12"	"Biliary tract, unspecified - Malignant neoplasms"	"C24.9"	43	21733312	0.2
	"Florida"	"12"	"Head of pancreas - Malignant neoplasms"	"C25.0"	39	21733312	0.2
	"Florida"	"12"	"Pancreatic duct - Malignant neoplasms"	"C25.3"	31	21733312	0.1
	"Florida"	"12"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	3431	21733312	15.8
	"Florida"	"12"	"Intestinal tract, part unspecified - Malignant neoplasms"	"C26.0"	14	21733312	Unreliable
	"Florida"	"12"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	112	21733312	0.5
	"Florida"	"12"	"Nasal cavity - Malignant neoplasms"	"C30.0"	14	21733312	Unreliable
	"Florida"	"12"	"Maxillary sinus - Malignant neoplasms"	"C31.0"	14	21733312	Unreliable
	"Florida"	"12"	"Accessory sinus, unspecified - Malignant neoplasms"	"C31.9"	11	21733312	Unreliable
	"Florida"	"12"	"Glottis - Malignant neoplasms"	"C32.0"	15	21733312	Unreliable
	"Florida"	"12"	"Supraglottis - Malignant neoplasms"	"C32.1"	23	21733312	0.1
	"Florida"	"12"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	329	21733312	1.5
	"Florida"	"12"	"Malignant neoplasm of trachea"	"C33"	10	21733312	Unreliable
	"Florida"	"12"	"Main bronchus - Malignant neoplasms"	"C34.0"	19	21733312	Unreliable
	"Florida"	"12"	"Upper lobe, bronchus or lung - Malignant neoplasms"	"C34.1"	91	21733312	0.4
	"Florida"	"12"	"Lower lobe, bronchus or lung - Malignant neoplasms"	"C34.3"	53	21733312	0.2
	"Florida"	"12"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	10627	21733312	48.9
	"Florida"	"12"	"Malignant neoplasm of thymus"	"C37"	20	21733312	0.1
	"Florida"	"12"	"Mediastinum, part unspecified - Malignant neoplasms"	"C38.3"	10	21733312	Unreliable
	"Florida"	"12"	"Mandible - Malignant neoplasms"	"C41.1"	17	21733312	Unreliable
	"Florida"	"12"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	87	21733312	0.4
	"Florida"	"12"	"Malignant melanoma of scalp and neck - Malignant neoplasms"	"C43.4"	13	21733312	Unreliable
	"Florida"	"12"	"Malignant melanoma of lower limb, including hip - Malignant neoplasms"	"C43.7"	10	21733312	Unreliable
	"Florida"	"12"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	632	21733312	2.9
	"Florida"	"12"	"Skin of ear and external auricular canal - Malignant neoplasms"	"C44.2"	14	21733312	Unreliable
	"Florida"	"12"	"Skin of other and unspecified parts of face - Malignant neoplasms"	"C44.3"	24	21733312	0.1
	"Florida"	"12"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	137	21733312	0.6
	"Florida"	"12"	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	"C44.9"	201	21733312	0.9
	"Florida"	"12"	"Mesothelioma of pleura - Malignant neoplasms"	"C45.0"	27	21733312	0.1
	"Florida"	"12"	"Mesothelioma of other sites - Malignant neoplasms"	"C45.7"	17	21733312	Unreliable
	"Florida"	"12"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	134	21733312	0.6
	"Florida"	"12"	"Retroperitoneum - Malignant neoplasms"	"C48.0"	19	21733312	Unreliable
	"Florida"	"12"	"Peritoneum, unspecified - Malignant neoplasms"	"C48.2"	49	21733312	0.2
	"Florida"	"12"	"Connective and soft tissue of head, face and neck - Malignant neoplasms"	"C49.0"	11	21733312	Unreliable
	"Florida"	"12"	"Connective and soft tissue of lower limb, including hip - Malignant neoplasms"	"C49.2"	35	21733312	0.2
	"Florida"	"12"	"Connective and soft tissue of abdomen - Malignant neoplasms"	"C49.4"	32	21733312	0.1
	"Florida"	"12"	"Connective and soft tissue of pelvis - Malignant neoplasms"	"C49.5"	11	21733312	Unreliable
	"Florida"	"12"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	280	21733312	1.3
	"Florida"	"12"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	3047	21733312	14.0
	"Florida"	"12"	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	98	21733312	0.5
	"Florida"	"12"	"Malignant neoplasm of vagina"	"C52"	31	21733312	0.1
	"Florida"	"12"	"Endocervix - Malignant neoplasms"	"C53.0"	12	21733312	Unreliable
	"Florida"	"12"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	372	21733312	1.7
	"Florida"	"12"	"Endometrium - Malignant neoplasms"	"C54.1"	483	21733312	2.2
	"Florida"	"12"	"Malignant neoplasm of uterus, part unspecified"	"C55"	360	21733312	1.7
	"Florida"	"12"	"Malignant neoplasm of ovary"	"C56"	1009	21733312	4.6
	"Florida"	"12"	"Fallopian tube - Malignant neoplasms"	"C57.0"	32	21733312	0.1
	"Florida"	"12"	"Female genital organ, unspecified - Malignant neoplasms"	"C57.9"	25	21733312	0.1
	"Florida"	"12"	"Penis, unspecified - Malignant neoplasms"	"C60.9"	15	21733312	Unreliable
	"Florida"	"12"	"Malignant neoplasm of prostate"	"C61"	2454	21733312	11.3
	"Florida"	"12"	"Testis, unspecified - Malignant neoplasms"	"C62.9"	42	21733312	0.2
	"Florida"	"12"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	1022	21733312	4.7
	"Florida"	"12"	"Malignant neoplasm of renal pelvis"	"C65"	17	21733312	Unreliable
	"Florida"	"12"	"Malignant neoplasm of ureter"	"C66"	27	21733312	0.1
	"Florida"	"12"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	1428	21733312	6.6
	"Florida"	"12"	"Urethra - Malignant neoplasms"	"C68.0"	29	21733312	0.1
	"Florida"	"12"	"Urinary organ, unspecified - Malignant neoplasms"	"C68.9"	20	21733312	0.1
	"Florida"	"12"	"Eye, unspecified - Malignant neoplasms"	"C69.9"	16	21733312	Unreliable
	"Florida"	"12"	"Meninges, unspecified - Malignant neoplasms"	"C70.9"	16	21733312	Unreliable
	"Florida"	"12"	"Cerebrum, except lobes and ventricles - Malignant neoplasms"	"C71.0"	10	21733312	Unreliable
	"Florida"	"12"	"Frontal lobe - Malignant neoplasms"	"C71.1"	24	21733312	0.1
	"Florida"	"12"	"Temporal lobe - Malignant neoplasms"	"C71.2"	18	21733312	Unreliable
	"Florida"	"12"	"Parietal lobe - Malignant neoplasms"	"C71.3"	12	21733312	Unreliable
	"Florida"	"12"	"Brain stem - Malignant neoplasms"	"C71.7"	12	21733312	Unreliable
	"Florida"	"12"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	1244	21733312	5.7
	"Florida"	"12"	"Malignant neoplasm of thyroid gland"	"C73"	152	21733312	0.7
	"Florida"	"12"	"Adrenal gland, unspecified - Malignant neoplasms"	"C74.9"	32	21733312	0.1
	"Florida"	"12"	"Head, face and neck - Malignant neoplasms"	"C76.0"	74	21733312	0.3
	"Florida"	"12"	"Thorax - Malignant neoplasms"	"C76.1"	10	21733312	Unreliable
	"Florida"	"12"	"Abdomen - Malignant neoplasms"	"C76.2"	32	21733312	0.1
	"Florida"	"12"	"Pelvis - Malignant neoplasms"	"C76.3"	13	21733312	Unreliable
	"Florida"	"12"	"Other ill-defined sites - Malignant neoplasms"	"C76.7"	11	21733312	Unreliable
	"Florida"	"12"	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	18	21733312	Unreliable
	"Florida"	"12"	"Secondary malignant neoplasm of pleura - Malignant neoplasms"	"C78.2"	13	21733312	Unreliable
	"Florida"	"12"	"Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms"	"C78.6"	29	21733312	0.1
	"Florida"	"12"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	121	21733312	0.6
	"Florida"	"12"	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	54	21733312	0.2
	"Florida"	"12"	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	34	21733312	0.2
	"Florida"	"12"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	350	21733312	1.6
	"Florida"	"12"	"Malignant neoplasm without specification of site"	"C80"	2015	21733312	9.3
	"Florida"	"12"	"Hodgkin disease, unspecified"	"C81.9"	62	21733312	0.3
	"Florida"	"12"	"Follicular non-Hodgkin lymphoma, unspecified"	"C82.9"	40	21733312	0.2
	"Florida"	"12"	"Non-Hodgkin lymphoma small cleaved cell (diffuse)"	"C83.1"	86	21733312	0.4
	"Florida"	"12"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	266	21733312	1.2
	"Florida"	"12"	"Non-Hodgkin lymphoma lymphoblastic (diffuse)"	"C83.5"	12	21733312	Unreliable
	"Florida"	"12"	"Burkitt tumor"	"C83.7"	14	21733312	Unreliable
	"Florida"	"12"	"Peripheral T-cell lymphoma - Malignant neoplasms"	"C84.4"	12	21733312	Unreliable
	"Florida"	"12"	"Other and unspecified T-cell lymphomas - Malignant neoplasms"	"C84.5"	97	21733312	0.4
	"Florida"	"12"	"B-cell lymphoma, unspecified - Malignant neoplasms"	"C85.1"	295	21733312	1.4
	"Florida"	"12"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	698	21733312	3.2
	"Florida"	"12"	"Waldenstr÷m macroglobulinemia"	"C88.0"	22	21733312	0.1
	"Florida"	"12"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	933	21733312	4.3
	"Florida"	"12"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	117	21733312	0.5
	"Florida"	"12"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	355	21733312	1.6
	"Florida"	"12"	"Adult T-cell leukaemia - Malignant neoplasms"	"C91.5"	21	21733312	0.1
	"Florida"	"12"	"Lymphoid leukaemia, unspecified - Malignant neoplasms"	"C91.9"	15	21733312	Unreliable
	"Florida"	"12"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	863	21733312	4.0
	"Florida"	"12"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	117	21733312	0.5
	"Florida"	"12"	"Acute promyelocytic leukaemia - Malignant neoplasms"	"C92.4"	13	21733312	Unreliable
	"Florida"	"12"	"Acute myelomonocytic leukaemia - Malignant neoplasms"	"C92.5"	12	21733312	Unreliable
	"Florida"	"12"	"Other myeloid leukaemia - Malignant neoplasms"	"C92.7"	45	21733312	0.2
	"Florida"	"12"	"Myeloid leukaemia, unspecified - Malignant neoplasms"	"C92.9"	14	21733312	Unreliable
	"Florida"	"12"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	89	21733312	0.4
	"Florida"	"12"	"Chronic leukaemia of unspecified cell type - Malignant neoplasms"	"C95.1"	12	21733312	Unreliable
	"Florida"	"12"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	220	21733312	1.0
	"Florida"	"12"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	468	21733312	2.2
	"Florida"	"12"	"Meninges, unspecified - Benign neoplasms"	"D32.9"	50	21733312	0.2
	"Florida"	"12"	"Liver, gallbladder and bile ducts - Uncertain neoplasms"	"D37.6"	18	21733312	Unreliable
	"Florida"	"12"	"Other digestive organs - Uncertain neoplasms"	"D37.7"	27	21733312	0.1
	"Florida"	"12"	"Trachea, bronchus and lung - Uncertain neoplasms"	"D38.1"	59	21733312	0.3
	"Florida"	"12"	"Prostate - Uncertain neoplasms"	"D40.0"	10	21733312	Unreliable
	"Florida"	"12"	"Kidney - Uncertain neoplasms"	"D41.0"	14	21733312	Unreliable
	"Florida"	"12"	"Bladder - Uncertain neoplasms"	"D41.4"	16	21733312	Unreliable
	"Florida"	"12"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	87	21733312	0.4
	"Florida"	"12"	"Polycythaemia vera"	"D45"	22	21733312	0.1
	"Florida"	"12"	"Refractory anaemia, unspecified - Uncertain neoplasms"	"D46.4"	10	21733312	Unreliable
	"Florida"	"12"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	574	21733312	2.6
	"Florida"	"12"	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	92	21733312	0.4
	"Florida"	"12"	"Monoclonal gammopathy - Uncertain neoplasms"	"D47.2"	11	21733312	Unreliable
	"Florida"	"12"	"Connective and other soft tissue - Uncertain neoplasms"	"D48.1"	33	21733312	0.2
	"Florida"	"12"	"Other specified sites - Uncertain neoplasms"	"D48.7"	16	21733312	Unreliable
	"Florida"	"12"	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	33	21733312	0.2
	"Florida"	"12"	"Iron deficiency anaemia secondary to blood loss (chronic)"	"D50.0"	17	21733312	Unreliable
	"Florida"	"12"	"Sickle-cell anaemia with crisis"	"D57.0"	19	21733312	Unreliable
	"Florida"	"12"	"Sickle-cell anaemia without crisis"	"D57.1"	35	21733312	0.2
	"Florida"	"12"	"Other autoimmune haemolytic anaemias"	"D59.1"	10	21733312	Unreliable
	"Florida"	"12"	"Aplastic anaemia, unspecified"	"D61.9"	74	21733312	0.3
	"Florida"	"12"	"Acute posthaemorrhagic anaemia"	"D62"	54	21733312	0.2
	"Florida"	"12"	"Anaemia, unspecified"	"D64.9"	206	21733312	0.9
	"Florida"	"12"	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	28	21733312	0.1
	"Florida"	"12"	"Other thrombophilia"	"D68.6"	11	21733312	Unreliable
	"Florida"	"12"	"Coagulation defect, unspecified"	"D68.9"	78	21733312	0.4
	"Florida"	"12"	"Idiopathic thrombocytopenic purpura"	"D69.3"	21	21733312	0.1
	"Florida"	"12"	"Thrombocytopenia, unspecified"	"D69.6"	36	21733312	0.2
	"Florida"	"12"	"Agranulocytosis"	"D70"	16	21733312	Unreliable
	"Florida"	"12"	"Other specified disorders of white blood cells"	"D72.8"	10	21733312	Unreliable
	"Florida"	"12"	"Haemophagocytic lymphohistiocytosis"	"D76.1"	16	21733312	Unreliable
	"Florida"	"12"	"Immunodeficiency, unspecified"	"D84.9"	11	21733312	Unreliable
	"Florida"	"12"	"Sarcoidosis of lung"	"D86.0"	13	21733312	Unreliable
	"Florida"	"12"	"Sarcoidosis, unspecified"	"D86.9"	39	21733312	0.2
	"Florida"	"12"	"Disorder involving the immune mechanism, unspecified"	"D89.9"	21	21733312	0.1
	"Florida"	"12"	"Hypothyroidism, unspecified"	"E03.9"	144	21733312	0.7
	"Florida"	"12"	"Thyrotoxicosis, unspecified"	"E05.9"	13	21733312	Unreliable
